scene_id,im_id,obj_id,score,R,t,time
1120,44,1,1,-0.08404555 0.9886278 -0.12470513 -0.22668944 -0.14083603 -0.9637308 -0.97033405 -0.052727953 0.23594813,-0.030025208 0.13473673 0.6851647,-1
1120,48,1,1,-0.4317044 0.83121467 -0.3503049 -0.5201622 -0.54668975 -0.6561719 -0.7369278 -0.10105692 0.66837484,-0.058215268 0.084227294 0.7039507,-1
1120,52,1,1,-0.59138316 0.76992214 0.23976207 0.7817061 0.620357 -0.06397507 -0.19799392 0.14958969 -0.96872145,-0.11784587 0.03206944 0.75232345,-1
1120,56,1,1,-0.13673049 0.9610974 -0.23999308 0.9426889 0.051801138 -0.32962772 -0.3043724 -0.27130896 -0.9130985,-0.18229018 0.02410298 0.7957566,-1
1120,60,1,1,0.34414738 0.7465727 -0.5693785 0.7423941 -0.5876293 -0.3217807 -0.5748161 -0.31196326 -0.75648224,-0.21907523 0.058483437 0.8130629,-1
1120,64,1,1,0.3485593 0.67201924 -0.65337324 0.73870087 -0.6260297 -0.24981576 -0.57691205 -0.39557177 -0.71462965,-0.23075493 0.0822264 0.8190148,-1
1120,68,1,1,0.35316688 0.6718392 -0.65108013 0.7439953 -0.6236198 -0.2399362 -0.5672249 -0.39966306 -0.72008705,-0.23288834 0.08474071 0.82109034,-1
1120,72,1,1,0.35969207 0.6675051 -0.6519652 0.7343774 -0.6335591 -0.2435011 -0.5755967 -0.39120308 -0.7180868,-0.23377809 0.082774654 0.82130486,-1
1121,46,1,1,-0.109008946 0.975531 -0.19093558 0.12739098 -0.1767865 -0.9759703 -0.98584414 -0.13071296 -0.10500254,0.21060255 0.15841429 0.8585525,-1
1121,50,1,1,0.35589266 0.6057546 -0.7116192 0.1268956 -0.7857469 -0.605392 -0.92587143 0.12515321 -0.35650915,0.21249296 0.09557503 0.8332326,-1
1121,54,1,1,0.5200184 -0.33063957 -0.7875648 -0.16158696 -0.9434711 0.28939927 -0.8387315 -0.023232743 -0.5440494,0.18437627 0.027953397 0.78539085,-1
